#http://cbio.mskcc.org/CancerGenes/Select.action	
EntrezID	GeneSymbol
10257	ABCC4
10152	ABI2
25	ABL1
27	ABL2
60	ACTB
4299	AFF1
3899	AFF3
11214	AKAP13
57016	AKR1B10
207	AKT1
208	AKT2
10000	AKT3
56899	ANKS1B
302	ANXA2
369	ARAF
7984	ARHGEF5
466	ATF1
558	AXL
60468	BACH2
572	BAD
573	BAG1
581	BAX
27113	BBC3
8537	BCAS1
53335	BCL11A
596	BCL2
10018	BCL2L11
602	BCL3
604	BCL6
613	BCR
282991	BLOC1S2
648	BMI1
673	BRAF
672	BRCA1
140707	BRI3BP
56946	C11orf30
718	C3
727	C5
345930	C6orf91
768	CA9
57118	CAMK1D
84433	CARD11
113201	CASC4
841	CASP8
867	CBL
868	CBLB
23624	CBLC
595	CCND1
894	CCND2
896	CCND3
1236	CCR7
29126	CD274
993	CDC25A
998	CDC42
988	CDC5L
79577	CDC73
55038	CDCA4
1015	CDH17
1029	CDKN2A
1044	CDX1
1045	CDX2
1051	CEBPB
116986	CENTG1
9857	CEP350
55165	CEP55
9557	CHD1L
1163	CKS1B
63967	CLSPN
1398	CRK
1399	CRKL
23373	CRTC1
1436	CSF1R
1499	CTNNB1
2017	CTTN
9820	CUL7
2919	CXCL1
2920	CXCL2
2921	CXCL3
7852	CXCR4
1540	CYLD
1591	CYP24A1
1602	DACH1
1612	DAPK1
1616	DAXX
117159	DCD
54165	DCUN1D1
1643	DDB2
1649	DDIT3
1656	DDX6
1672	DEFB1
7913	DEK
8562	DENR
1749	DLX5
1789	DNMT3B
1894	ECT2
1908	EDN3
1917	EEF1A2
1942	EFNA1
1956	EGFR
1958	EGR1
5610	EIF2AK2
3646	EIF3E
1991	ELA2
2002	ELK1
2005	ELK4
957	ENTPD5
2041	EPHA1
1969	EPHA2
3266	ERAS
2064	ERBB2
2065	ERBB3
2066	ERBB4
2069	EREG
2078	ERG
54206	ERRFI1
9700	ESPL1
2113	ETS1
2114	ETS2
2118	ETV4
2120	ETV6
51513	ETV7
2122	EVI1
2130	EWSR1
2146	EZH2
2152	F3
8772	FADD
23017	FAIM2
2194	FASN
2241	FER
2242	FES
54738	FEV
2248	FGF3
2249	FGF4
2250	FGF5
2260	FGFR1
11116	FGFR1OP
26127	FGFR1OP2
2263	FGFR2
2268	FGR
2313	FLI1
2321	FLT1
2353	FOS
2354	FOSB
8061	FOSL1
3169	FOXA1
2290	FOXG1
50943	FOXP3
10023	FRAT1
65991	FUNDC2
2521	FUS
2534	FYN
9846	GAB2
2621	GAS6
2668	GDNF
2672	GFI1
27069	GHITM
2735	GLI1
2736	GLI2
2737	GLI3
2738	GLI4
10399	GNB2L1
9950	GOLGA5
64083	GOLPH3
57120	GOPC
29933	GPR132
2907	GRINA
2932	GSK3B
283120	H19
3074	HEXB
3082	HGF
3087	HHEX
3091	HIF1A
284459	HKR1
3159	HMGA1
8091	HMGA2
3172	HNF4A
3198	HOXA1
3265	HRAS
3298	HSF2
3320	HSP90AA1
3315	HSPB1
3397	ID1
3428	IFI16
56832	IFNK
3486	IGFBP3
3490	IGFBP7
9641	IKBKE
3576	IL8
3579	IL8RB
3662	IRF4
3688	ITGB1
3704	ITPA
23081	JMJD2C
3725	JUN
3726	JUNB
3727	JUND
3728	JUP
9798	KIAA0174
3815	KIT
1316	KLF6
3816	KLK1
3845	KRAS
3861	KRT14
3932	LCK
3934	LCN2
25875	LETMD1
4005	LMO2
8543	LMO4
27257	LSM1
4067	LYN
10226	M6PRBP1
8379	MAD1L1
10296	MAEA
4094	MAF
389692	MAFA
9935	MAFB
23764	MAFF
4097	MAFG
7975	MAFK
84441	MAML2
5606	MAP2K3
1326	MAP3K8
5594	MAPK1
5595	MAPK3
4142	MAS1
116511	MAS1L
4149	MAX
4168	MCF2
4172	MCM3
4193	MDM2
10461	MERTK
4233	MET
9258	MFHAS1
4286	MITF
4297	MLL
4321	MMP12
4313	MMP2
4316	MMP7
4330	MN1
4342	MOS
4352	MPL
22808	MRAS
64963	MRPS11
4477	MSMB
4486	MST1R
92140	MTDH
200958	MUC20
4585	MUC4
4602	MYB
4603	MYBL1
4605	MYBL2
4609	MYC
4610	MYCL1
4613	MYCN
8883	NAE1
8031	NCOA4
4718	NDUFC2
4734	NEDD4
10276	NET1
4790	NFKB1
4791	NFKB2
4830	NME1
9111	NMI
4869	NPM1
2063	NR2F6
4893	NRAS
8829	NRP1
114614	NR_001458
5820	NR_003367
646996	NR_003543
4914	NTRK1
8021	NUP214
4927	NUP88
5015	OTX2
5034	P4HB
5058	PAK1
11315	PARK7
23598	PATZ1
5076	PAX2
5078	PAX4
7849	PAX8
27250	PDCD4
5155	PDGFB
8682	PEA15
23089	PEG10
27043	PELP1
5204	PFDN5
5245	PHB
128869	PIGU
5290	PIK3CA
5294	PIK3CG
5292	PIM1
11040	PIM2
415116	PIM3
5324	PLAG1
5328	PLAU
5329	PLAUR
5336	PLCG2
5371	PML
5468	PPARG
8493	PPM1D
5573	PRKAR1A
5584	PRKCI
5728	PTEN
5743	PTGS2
5747	PTK2
5781	PTPN11
5782	PTPN12
9232	PTTG1
10890	RAB10
8766	RAB11A
9230	RAB11B
201475	RAB12
5872	RAB13
51552	RAB14
376267	RAB15
64284	RAB17
22931	RAB18
401409	RAB19
5861	RAB1A
81876	RAB1B
55647	RAB20
23011	RAB21
57403	RAB22A
51715	RAB23
53917	RAB24
57111	RAB25
25837	RAB26
5873	RAB27A
5874	RAB27B
9364	RAB28
5862	RAB2A
84932	RAB2B
27314	RAB30
11031	RAB31
10981	RAB32
9363	RAB33A
83452	RAB33B
83871	RAB34
11021	RAB35
9609	RAB36
326624	RAB37
23682	RAB38
54734	RAB39
116442	RAB39B
5864	RAB3A
5865	RAB3B
115827	RAB3C
9545	RAB3D
142684	RAB40A
282808	RAB40AL
10966	RAB40B
57799	RAB40C
347517	RAB41
115273	RAB42
339122	RAB43
5867	RAB4A
53916	RAB4B
5868	RAB5A
5869	RAB5B
5878	RAB5C
5870	RAB6A
51560	RAB6B
84084	RAB6C
7879	RAB7A
8934	RAB7L1
4218	RAB8A
51762	RAB8B
9367	RAB9A
51209	RAB9B
9366	RAB9P1
11159	RABL2A
11158	RABL2B
285282	RABL3
11020	RABL4
64792	RABL5
5884	RAD17
5894	RAF1
5898	RALA
5899	RALB
5901	RAN
10048	RANBP9
5906	RAP1A
5908	RAP1B
5911	RAP2A
5912	RAP2B
57826	RAP2C
2889	RAPGEF1
158158	RASEF
11186	RASSF1
283349	RASSF3
5925	RB1
5935	RBM3
5937	RBMS1
5940	RBMY1A1
8434	RECK
5966	REL
5970	RELA
5971	RELB
5979	RET
5863	RGL2
266747	RGL4
387	RHOA
388	RHOB
389	RHOC
390	RND3
6098	ROS1
6130	RPL7A
6237	RRAS
22800	RRAS2
51773	RSF1
861	RUNX1
860	RUNX2
864	RUNX3
6286	S100P
5055	SERPINB2
6418	SET
6446	SGK1
30011	SH3KBP1
6497	SKI
6498	SKIL
27173	SLC39A1
22950	SLC4A1AP
6528	SLC5A5
6598	SMARCB1
6608	SMO
6635	SNRPE
6654	SOS1
6659	SOX4
6667	SP1
9043	SPAG9
132851	SPATA4
6688	SPI1
6696	SPP1
6714	SRC
6720	SREBF1
6760	SS18
8082	SSPN
6774	STAT3
6794	STK11
55359	STYK1
4072	TACSTD1
4070	TACSTD2
414060	TBC1D3C
8115	TCL1A
9623	TCL1B
80312	TET1
54790	TET2
200424	TET3
10342	TFG
7040	TGFB1
10189	THOC4
7066	THPO
7067	THRA
7068	THRB
7078	TIMP3
3195	TLX1
64114	TMBIM1
51643	TMBIM4
7009	TMBIM6
23585	TMEM50A
3371	TNC
10140	TOB1
10043	TOM1
10040	TOM1L1
146691	TOM1L2
7157	TP53
7161	TP73
7163	TPD52
7175	TPR
28951	TRIB2
22954	TRIM32
7249	TSC2
60385	TSKS
64927	TTC23
7291	TWIST1
7298	TYMS
7335	UBE2V1
7337	UBE3A
7343	UBTF
7375	USP4
9098	USP6
7409	VAV1
7410	VAV2
10451	VAV3
7422	VEGFA
7424	VEGFC
7471	WNT1
7480	WNT10B
7473	WNT3
7476	WNT7A
10413	YAP1
7525	YES1
51341	ZBTB7A
9839	ZEB2
