#http://cbio.mskcc.org/CancerGenes/Select.action	
EntrezID	GeneSymbol
5243	ABCB1
25	ABL1
80325	ABTB1
31	ACACA
59	ACTA2
8038	ADAM12
170692	ADAMTS18
9370	ADIPOQ
141	ADPRH
186	AGTR2
57491	AHRR
84883	AIFM2
9049	AIP
9590	AKAP12
231	AKR1B1
57016	AKR1B10
207	AKT1
214	ALCAM
246	ALOX15
249	ALPL
268	AMH
8125	ANP32A
10541	ANP32B
23520	ANP32C
23519	ANP32D
301	ANXA1
310	ANXA7
317	APAF1
324	APC
378708	APITD1
351	APP
367	AR
375	ARF1
383	ARG1
9411	ARHGAP29
23365	ARHGEF12
115761	ARL11
80117	ARL14
409	ARRB2
467	ATF3
472	ATM
545	ATR
6790	AURKA
9212	AURKB
8312	AXIN1
575	BAI1
578	BAK1
54971	BANP
8314	BAP1
580	BARD1
581	BAX
9564	BCAR1
64919	BCL11B
596	BCL2
602	BCL3
613	BCR
8678	BECN1
84707	BEX2
79365	BHLHB3
638	BIK
274	BIN1
332	BIRC5
10904	BLCAP
641	BLM
648	BMI1
650	BMP2
657	BMPR1A
658	BMPR1B
664	BNIP3
672	BRCA1
675	BRCA2
2972	BRF1
25855	BRMS1
55717	BRWD2
682	BSG
112939	BTBD14B
7832	BTG2
10950	BTG3
54766	BTG4
8945	BTRC
57103	C12orf5
84417	C2orf40
89958	C9orf140
771	CA12
768	CA9
56997	CABC1
23705	CADM1
57863	CADM3
199731	CADM4
23261	CAMTA1
822	CAPG
833	CARS
57082	CASC5
841	CASP8
857	CAV1
858	CAV2
863	CBFA2T3
25776	CBY1
64753	CCDC136
890	CCNA2
892	CCNC
595	CCND1
894	CCND2
896	CCND3
23582	CCNDBP1
900	CCNG1
920	CD4
965	CD58
966	CD59
975	CD81
3732	CD82
8556	CDC14A
8555	CDC14B
983	CDC2
79577	CDC73
999	CDH1
1009	CDH11
1012	CDH13
28513	CDH19
28316	CDH20
1002	CDH4
1017	CDK2
8099	CDK2AP1
10263	CDK2AP2
1021	CDK6
1026	CDKN1A
1027	CDKN1B
1028	CDKN1C
1029	CDKN2A
55602	CDKN2AIP
1030	CDKN2B
1031	CDKN2C
634	CEACAM1
1050	CEBPA
1052	CEBPD
1072	CFL1
8837	CFLAR
26038	CHD5
11200	CHEK2
55743	CHFR
10752	CHL1
5119	CHMP1A
1147	CHUK
10970	CKAP4
1163	CKS1B
9635	CLCA2
9075	CLDN2
137075	CLDN23
63967	CLSPN
1191	CLU
116173	CMTM5
29883	CNOT7
152330	CNTN4
27255	CNTN6
9318	COPS2
51692	CPSF3
1385	CREB1
1387	CREBBP
1389	CREBL2
8804	CREG1
1398	CRK
1440	CSF3
64651	CSRNP1
1473	CST5
1474	CST6
10664	CTCF
10217	CTDSPL
1490	CTGF
1495	CTNNA1
1499	CTNNB1
1500	CTNND1
8454	CUL1
8453	CUL2
1523	CUX1
6387	CXCL12
7852	CXCR4
57007	CXCR7
11068	CYB561D2
1535	CYBA
114757	CYGB
1540	CYLD
1594	CYP27B1
3491	CYR61
153090	DAB2IP
1612	DAPK1
1620	DBC1
1630	DCC
1654	DDX3X
1655	DDX5
50514	DEC1
1687	DFNA5
9704	DHX34
1660	DHX9
11083	DIDO1
148252	DIRAS1
9077	DIRAS3
22943	DKK1
27122	DKK3
10395	DLC1
9940	DLEC1
1741	DLG3
9787	DLGAP5
8788	DLK1
9988	DMTF1
9093	DNAJA3
11080	DNAJB4
55735	DNAJC11
1786	DNMT1
1789	DNMT3B
1796	DOK1
84444	DOT1L
1801	DPH1
1803	DPP4
55332	DRAM
4733	DRG1
1848	DUSP6
1869	E2F1
1870	E2F2
1871	E2F3
1874	E2F4
1875	E2F5
1876	E2F6
55840	EAF2
1894	ECT2
60401	EDA2R
1906	EDN1
1907	EDN2
1915	EEF1A1
9521	EEF1E1
1946	EFNA5
1950	EGF
1956	EGFR
54583	EGLN1
1958	EGR1
1959	EGR2
26298	EHF
5610	EIF2AK2
1965	EIF2S1
8507	ENC1
2023	ENO1
2034	EPAS1
2035	EPB41
23136	EPB41L3
2048	EPHB2
2050	EPHB4
51752	ERAP1
64167	ERAP2
2064	ERBB2
2074	ERCC6
54206	ERRFI1
2099	ESR1
2100	ESR2
54845	ESRP1
2114	ETS2
2131	EXT1
2132	EXT2
2137	EXTL3
2146	EZH2
2152	F3
2170	FABP3
145165	FAM10A4
139285	FAM123B
355	FAS
2195	FAT1
2196	FAT2
120114	FAT3
79633	FAT4
2197	FAU
2192	FBLN1
79791	FBXO31
114907	FBXO32
55294	FBXW7
2246	FGF1
2271	FH
2272	FHIT
201163	FLCN
2313	FLI1
2316	FLNA
2322	FLT3
3170	FOXA2
2296	FOXC1
2308	FOXO1
2309	FOXO3
27086	FOXP1
50943	FOXP3
2475	FRAP1
2444	FRK
10146	G3BP1
9908	G3BP2
11337	GABARAP
10912	GADD45G
90480	GADD45GIP1
2580	GAK
2587	GALR1
2619	GAS1
2622	GAS8
79893	GGNBP2
2697	GJA1
2706	GJB2
11010	GLIPR1
29998	GLTSCR1
29997	GLTSCR2
27232	GNMT
2719	GPC3
9052	GPRC5A
2878	GPX3
2922	GRP
79792	GSDMD
2932	GSK3B
2950	GSTP1
2960	GTF2E1
23560	GTPBP4
51512	GTSE1
283120	H19
57531	HACE1
26959	HBP1
55384	hCG_25025
3065	HDAC1
3066	HDAC2
8841	HDAC3
51696	HECA
3090	HIC1
3091	HIF1A
55662	HIF1AN
28996	HIPK2
3105	HLA-A
6596	HLTF
84525	HOPX
3202	HOXA5
10481	HOXB13
3248	HPGD
3265	HRAS
54979	HRASLS2
11145	HRASLS3
10553	HTATIP2
5654	HTRA1
27429	HTRA2
94031	HTRA3
10075	HUWE1
3373	HYAL1
3400	ID4
3417	IDH1
8870	IER3
3456	IFNB1
3458	IFNG
3479	IGF1
3480	IGF1R
3482	IGF2R
3484	IGFBP1
3486	IGFBP3
3487	IGFBP4
3488	IGFBP5
3489	IGFBP6
3490	IGFBP7
347252	IGFBPL1
9641	IKBKE
22807	IKZF2
22806	IKZF3
3586	IL10
3605	IL17A
54756	IL17RD
3553	IL1B
3558	IL2
11009	IL24
3559	IL2RA
3569	IL6
3621	ING1
54556	ING3
51147	ING4
84289	ING5
3623	INHA
3624	INHBA
8821	INPP4B
26512	INTS6
3659	IRF1
3661	IRF3
3394	IRF8
3667	IRS1
9636	ISG15
79763	ISOC2
3678	ITGA5
3685	ITGAV
3688	ITGB1
3690	ITGB3
3717	JAK2
10765	JARID1B
122953	JDP2
51780	JMJD1B
79831	JMJD5
3728	JUP
8850	KAT2B
10524	KAT5
283518	KCNRG
147040	KCTD11
9768	KIAA0101
23281	KIAA0774
23095	KIF1B
3814	KISS1
84634	KISS1R
3815	KIT
9365	KL
