	x
1	ENSG00000167995_ENSG00000167996
2	ENSG00000131408_ENSG00000131398
3	ENSG00000131408_ENSG00000131401
4	ENSG00000131408_ENSG00000131400
5	ENSG00000265496_ENSG00000215472
6	ENSG00000265496_ENSG00000265681
7	ENSG00000265496_ENSG00000202093
8	ENSG00000265496_ENSG00000206602
9	ENSG00000265496_ENSG00000206696
10	ENSG00000174748_ENSG00000197885
11	ENSG00000174738_ENSG00000197885
12	ENSG00000229021_ENSG00000163191
13	ENSG00000144712_ENSG00000144713
14	ENSG00000144712_ENSG00000207496
15	ENSG00000078061_ENSG00000008056
16	ENSG00000102265_ENSG00000008056
17	ENSG00000263858_ENSG00000008056
18	ENSG00000258017_ENSG00000123416
19	ENSG00000258017_ENSG00000200309
20	ENSG00000255125_ENSG00000110321
21	ENSG00000255125_ENSG00000238622
22	ENSG00000117983_ENSG00000255177
23	ENSG00000236054_ENSG00000185666
24	ENSG00000229673_ENSG00000185666
25	ENSG00000100234_ENSG00000185666
26	ENSG00000228194_ENSG00000185666
27	ENSG00000063046_ENSG00000257337
28	ENSG00000111077_ENSG00000257337
29	ENSG00000135506_ENSG00000257342
30	ENSG00000258666_ENSG00000140105
31	ENSG00000173821_ENSG00000263069
32	ENSG00000173818_ENSG00000263069
33	ENSG00000239608_ENSG00000175792
34	ENSG00000058262_ENSG00000175792
35	ENSG00000132394_ENSG00000175792
36	ENSG00000238279_ENSG00000197956
37	ENSG00000138134_ENSG00000107796
38	ENSG00000089127_ENSG00000257452
39	ENSG00000111331_ENSG00000257452
40	ENSG00000111335_ENSG00000257452
41	ENSG00000258159_ENSG00000257452
42	ENSG00000251357_ENSG00000218537
43	ENSG00000240972_ENSG00000218537
44	ENSG00000253736_ENSG00000213386
45	ENSG00000253736_ENSG00000120129
46	ENSG00000157734_ENSG00000166794
47	ENSG00000199306_ENSG00000114473
48	ENSG00000182899_ENSG00000114473
49	ENSG00000147676_ENSG00000253972
50	ENSG00000213904_ENSG00000079435
51	ENSG00000213904_ENSG00000189377
52	ENSG00000213904_ENSG00000079385
53	ENSG00000259138_ENSG00000119638
54	ENSG00000259138_ENSG00000170348
55	ENSG00000038427_ENSG00000249835
56	ENSG00000105364_ENSG00000266978
57	ENSG00000090339_ENSG00000266978
58	ENSG00000186583_ENSG00000178685
59	ENSG00000178719_ENSG00000178685
60	ENSG00000267168_ENSG00000161547
61	ENSG00000267168_ENSG00000207556
62	ENSG00000100644_ENSG00000258667
63	ENSG00000258964_ENSG00000258667
64	ENSG00000132507_ENSG00000132522
65	ENSG00000180139_ENSG00000107796
66	ENSG00000224063_ENSG00000226553
67	ENSG00000224063_ENSG00000222845
68	ENSG00000224063_ENSG00000199626
69	ENSG00000224063_ENSG00000064989
70	ENSG00000224063_ENSG00000003436
71	ENSG00000109906_ENSG00000256947
72	ENSG00000166741_ENSG00000256947
73	ENSG00000171453_ENSG00000204052
74	ENSG00000171453_ENSG00000137207
75	ENSG00000171453_ENSG00000124571
76	ENSG00000226445_ENSG00000186340
77	ENSG00000267469_ENSG00000104964
78	ENSG00000262413_ENSG00000141522
79	ENSG00000161011_ENSG00000161010
80	ENSG00000222448_ENSG00000161010
81	ENSG00000141526_ENSG00000141551
82	ENSG00000108839_ENSG00000267047
83	ENSG00000161939_ENSG00000267047
84	ENSG00000219200_ENSG00000267047
85	ENSG00000260527_ENSG00000232131
86	ENSG00000260527_ENSG00000251920
87	ENSG00000260527_ENSG00000213133
88	ENSG00000260527_ENSG00000201613
89	ENSG00000260527_ENSG00000220548
90	ENSG00000260527_ENSG00000093144
91	ENSG00000260527_ENSG00000251768
92	ENSG00000260527_ENSG00000220522
93	ENSG00000260527_ENSG00000214338
94	ENSG00000260527_ENSG00000189367
95	ENSG00000260527_ENSG00000255330
96	ENSG00000260527_ENSG00000219284
97	ENSG00000260527_ENSG00000218187
98	ENSG00000260527_ENSG00000219699
99	ENSG00000260527_ENSG00000172673
100	ENSG00000260527_ENSG00000152894
101	ENSG00000260527_ENSG00000228972
102	ENSG00000260527_ENSG00000182404
103	ENSG00000260527_ENSG00000213130
104	ENSG00000260527_ENSG00000220110
105	ENSG00000260527_ENSG00000202200
106	ENSG00000260527_ENSG00000220884
107	ENSG00000260527_ENSG00000219642
108	ENSG00000260527_ENSG00000233351
109	ENSG00000260527_ENSG00000226149
110	ENSG00000260527_ENSG00000146376
111	ENSG00000260527_ENSG00000218689
112	ENSG00000260527_ENSG00000219666
113	ENSG00000260527_ENSG00000219302
114	ENSG00000260527_ENSG00000203756
115	ENSG00000260527_ENSG00000227678
116	ENSG00000173812_ENSG00000173801
117	ENSG00000184502_ENSG00000173801
118	ENSG00000201920_ENSG00000173801
119	ENSG00000122861_ENSG00000222047
120	ENSG00000262211_ENSG00000134352
121	ENSG00000240065_ENSG00000204264
122	ENSG00000240065_ENSG00000168394
123	ENSG00000240065_ENSG00000234515
124	ENSG00000236065_ENSG00000004455
125	ENSG00000258086_ENSG00000139572
126	ENSG00000258086_ENSG00000161642
127	ENSG00000258086_ENSG00000161638
128	ENSG00000258086_ENSG00000170627
129	ENSG00000228113_ENSG00000264868
130	ENSG00000228113_ENSG00000127954
131	ENSG00000054654_ENSG00000140009
132	ENSG00000238221_ENSG00000124783
133	ENSG00000224186_ENSG00000069011
134	ENSG00000224186_ENSG00000249082
135	ENSG00000224186_ENSG00000248482
136	ENSG00000224186_ENSG00000249647
137	ENSG00000224186_ENSG00000113648
138	ENSG00000247925_ENSG00000111859
139	ENSG00000254741_ENSG00000104529
140	ENSG00000170776_ENSG00000259407
141	ENSG00000169564_ENSG00000179818
142	ENSG00000178826_ENSG00000231840
143	ENSG00000197448_ENSG00000231840
144	ENSG00000263307_ENSG00000103342
145	ENSG00000263307_ENSG00000261560
146	ENSG00000198865_ENSG00000250722
147	ENSG00000257411_ENSG00000257553
148	ENSG00000170515_ENSG00000257553
149	ENSG00000114857_ENSG00000230084
150	ENSG00000114853_ENSG00000230084
151	ENSG00000168631_ENSG00000233529
152	ENSG00000132470_ENSG00000108479
153	ENSG00000250167_ENSG00000145824
154	ENSG00000182871_ENSG00000173638
155	ENSG00000177685_ENSG00000255108
156	ENSG00000177666_ENSG00000255108
157	ENSG00000177697_ENSG00000255108
158	ENSG00000262039_ENSG00000186244
159	ENSG00000262039_ENSG00000167085
160	ENSG00000262039_ENSG00000207127
161	ENSG00000262039_ENSG00000229944
162	ENSG00000262039_ENSG00000249497
163	ENSG00000245248_ENSG00000254892
164	ENSG00000245248_ENSG00000154096
165	ENSG00000245248_ENSG00000255377
166	ENSG00000033011_ENSG00000103174
167	ENSG00000033011_ENSG00000153446
168	ENSG00000033011_ENSG00000260882
169	ENSG00000033011_ENSG00000118894
170	ENSG00000101335_ENSG00000259716
171	ENSG00000118707_ENSG00000259716
172	ENSG00000259399_ENSG00000259716
173	ENSG00000255860_ENSG00000204971
174	ENSG00000110195_ENSG00000204971
175	ENSG00000135480_ENSG00000257671
176	ENSG00000133030_ENSG00000263624
177	ENSG00000214899_ENSG00000263624
178	ENSG00000206859_ENSG00000263624
179	ENSG00000243370_ENSG00000263624
180	ENSG00000108515_ENSG00000108518
181	ENSG00000258579_ENSG00000119681
182	ENSG00000267062_ENSG00000095066
183	ENSG00000267062_ENSG00000167815
184	ENSG00000233393_ENSG00000230212
185	ENSG00000159228_ENSG00000230212
186	ENSG00000236119_ENSG00000230212
187	ENSG00000149591_ENSG00000160613
188	ENSG00000264031_ENSG00000168792
189	ENSG00000264031_ENSG00000108262
190	ENSG00000264031_ENSG00000264647
191	ENSG00000264031_ENSG00000167549
192	ENSG00000264031_ENSG00000264007
193	ENSG00000264031_ENSG00000141298
194	ENSG00000264031_ENSG00000222858
195	ENSG00000264031_ENSG00000265625
196	ENSG00000170921_ENSG00000263644
197	ENSG00000127838_ENSG00000135926
198	ENSG00000127838_ENSG00000237281
199	ENSG00000224746_ENSG00000105887
200	ENSG00000224746_ENSG00000267697
201	ENSG00000055070_ENSG00000187144
202	ENSG00000251143_ENSG00000137497
203	ENSG00000187942_ENSG00000142798
204	ENSG00000163755_ENSG00000047457
205	ENSG00000226330_ENSG00000158615
206	ENSG00000226330_ENSG00000133056
207	ENSG00000089818_ENSG00000201549
208	ENSG00000089818_ENSG00000173262
209	ENSG00000089818_ENSG00000255356
210	ENSG00000089818_ENSG00000059804
211	ENSG00000089818_ENSG00000240739
212	ENSG00000089818_ENSG00000255581
213	ENSG00000089818_ENSG00000171860
214	ENSG00000159140_ENSG00000240368
215	ENSG00000259357_ENSG00000143418
216	ENSG00000125954_ENSG00000176153
217	ENSG00000125954_ENSG00000139998
218	ENSG00000125954_ENSG00000125952
219	ENSG00000196421_ENSG00000196700
220	ENSG00000101161_ENSG00000196700
221	ENSG00000189089_ENSG00000185917
222	ENSG00000236677_ENSG00000185917
223	ENSG00000200213_ENSG00000185917
224	ENSG00000159228_ENSG00000185917
225	ENSG00000198242_ENSG00000264577
226	ENSG00000238578_ENSG00000264577
227	ENSG00000117877_ENSG00000012061
228	ENSG00000125740_ENSG00000012061
229	ENSG00000265148_ENSG00000005379
230	ENSG00000265148_ENSG00000265206
231	ENSG00000265148_ENSG00000207567
232	ENSG00000265148_ENSG00000264399
233	ENSG00000265148_ENSG00000213246
234	ENSG00000265148_ENSG00000108375
235	ENSG00000153113_ENSG00000164307
236	ENSG00000248734_ENSG00000164307
237	ENSG00000260465_ENSG00000135720
238	ENSG00000143882_ENSG00000143870
239	ENSG00000006118_ENSG00000256196
240	ENSG00000110108_ENSG00000256196
241	ENSG00000090339_ENSG00000267607
242	ENSG00000105371_ENSG00000267607
243	ENSG00000233098_ENSG00000205212
244	ENSG00000233098_ENSG00000252483
245	ENSG00000233098_ENSG00000265790
246	ENSG00000233098_ENSG00000265099
247	ENSG00000233098_ENSG00000124422
248	ENSG00000157450_ENSG00000137776
249	ENSG00000157450_ENSG00000259393
250	ENSG00000157450_ENSG00000241640
251	ENSG00000267394_ENSG00000087152
252	ENSG00000267394_ENSG00000108312
253	ENSG00000111057_ENSG00000170421
254	ENSG00000158428_ENSG00000237281
255	ENSG00000238736_ENSG00000237281
256	ENSG00000230580_ENSG00000237281
257	ENSG00000225313_ENSG00000184389
258	ENSG00000225313_ENSG00000134686
259	ENSG00000198900_ENSG00000226648
260	ENSG00000124181_ENSG00000226648
261	ENSG00000125459_ENSG00000232519
262	ENSG00000125459_ENSG00000246203
263	ENSG00000125459_ENSG00000163374
264	ENSG00000125459_ENSG00000227673
265	ENSG00000103495_ENSG00000261962
266	ENSG00000167371_ENSG00000261962
267	ENSG00000185928_ENSG00000261962
268	ENSG00000263136_ENSG00000261962
269	ENSG00000257878_ENSG00000111144
270	ENSG00000149547_ENSG00000254671
271	ENSG00000222297_ENSG00000254671
272	ENSG00000134910_ENSG00000254671
273	ENSG00000167635_ENSG00000196357
274	ENSG00000152601_ENSG00000243305
275	ENSG00000261460_ENSG00000140488
276	ENSG00000261460_ENSG00000260729
277	ENSG00000261460_ENSG00000213614
278	ENSG00000233695_ENSG00000183087
279	ENSG00000132274_ENSG00000132256
280	ENSG00000232381_ENSG00000132256
281	ENSG00000181109_ENSG00000132256
282	ENSG00000181023_ENSG00000132256
283	ENSG00000181074_ENSG00000132256
284	ENSG00000181017_ENSG00000132256
285	ENSG00000236965_ENSG00000132256
286	ENSG00000180988_ENSG00000132256
287	ENSG00000233563_ENSG00000132256
288	ENSG00000180974_ENSG00000132256
289	ENSG00000216588_ENSG00000266903
290	ENSG00000186567_ENSG00000266903
291	ENSG00000213892_ENSG00000266903
292	ENSG00000073008_ENSG00000266903
293	ENSG00000063244_ENSG00000267523
294	ENSG00000267096_ENSG00000267523
295	ENSG00000177463_ENSG00000225733
296	ENSG00000177463_ENSG00000131368
297	ENSG00000184154_ENSG00000137497
298	ENSG00000184154_ENSG00000149357
299	ENSG00000184154_ENSG00000110200
300	ENSG00000180901_ENSG00000167863
301	ENSG00000046604_ENSG00000264859
302	ENSG00000111203_ENSG00000258325
303	ENSG00000004478_ENSG00000258325
304	ENSG00000100994_ENSG00000100997
305	ENSG00000255857_ENSG00000089159
306	ENSG00000116786_ENSG00000237938
307	ENSG00000162461_ENSG00000237938
308	ENSG00000143222_ENSG00000224985
309	ENSG00000004478_ENSG00000258092
310	ENSG00000166780_ENSG00000166783
311	ENSG00000135269_ENSG00000243243
312	ENSG00000236498_ENSG00000115484
313	ENSG00000255302_ENSG00000185634
314	ENSG00000235883_ENSG00000185634
315	ENSG00000259602_ENSG00000185634
316	ENSG00000166181_ENSG00000254907
317	ENSG00000252652_ENSG00000254907
318	ENSG00000052841_ENSG00000254907
319	ENSG00000135269_ENSG00000237813
320	ENSG00000252672_ENSG00000237813
321	ENSG00000105971_ENSG00000237813
322	ENSG00000049449_ENSG00000255252
323	ENSG00000242687_ENSG00000198742
324	ENSG00000103495_ENSG00000238045
325	ENSG00000167371_ENSG00000238045
326	ENSG00000166535_ENSG00000256661
327	ENSG00000166532_ENSG00000256661
328	ENSG00000249790_ENSG00000256661
329	ENSG00000213918_ENSG00000263235
330	ENSG00000213918_ENSG00000126602
331	ENSG00000204220_ENSG00000227057
332	ENSG00000204220_ENSG00000237441
333	ENSG00000255709_ENSG00000186635
334	ENSG00000255709_ENSG00000214530
335	ENSG00000139537_ENSG00000134287
336	ENSG00000139537_ENSG00000134285
337	ENSG00000139537_ENSG00000255863
338	ENSG00000139537_ENSG00000201678
339	ENSG00000101342_ENSG00000101347
340	ENSG00000002549_ENSG00000249502
341	ENSG00000102854_ENSG00000228201
342	ENSG00000102854_ENSG00000262528
