sasid	chr	start	end	gene_name	transcript_biotype	exon_overlap_type	exon_overlaping_length	cpg_count	cpg_names
ENSG00000181291_ENSG00000197322	17	32907765	32966337	TMEM132E_C17orf102	protein_coding&snRNA	divergent	1378	1	CpG: 276
ENSG00000265114_ENSG00000264262	17	22192158	22192940	RP11-285M22.1_RP11-285M22.3	protein_coding&snRNA	divergent	214	1	CpG: 21
ENSG00000160401_ENSG00000187024	9	130476110	130478281	C9orf117_PTRH1	protein_coding&protein_coding	EXON_5UTR	89	1	CpG: 90
ENSG00000257075_ENSG00000110200	11	71842325	71842953	RP11-807H22.4_ANAPC15	protein_coding&snRNA	divergent	18500	1	CpG: 28
ENSG00000230459_ENSG00000173517	15	77400468	77712486	RP11-741G21.1_PEAK1	processed_pseudogene&protein_coding	INTRONIC	274	1	CpG: 108
ENSG00000145191_ENSG00000214160	3	183853049	184402546	EIF2B5_ALG3	protein_coding&protein_coding	INTRONIC	7249	28	CpG: 21;CpG: 57;CpG: 92;CpG: 36;CpG: 16;CpG: 49;CpG: 39;CpG: 55;CpG: 65;CpG: 55;CpG: 92;CpG: 192;CpG: 54;CpG: 235;CpG: 45;CpG: 93;CpG: 35;CpG: 96;CpG: 21;CpG: 74;CpG: 28;CpG: 160;CpG: 46;CpG: 22;CpG: 23;CpG: 58;CpG: 22;CpG: 141
ENSG00000148180_ENSG00000119396	9	123940412	124095121	GSN_RAB14	protein_coding&protein_coding	INTRONIC	15219	2	CpG: 115;CpG: 55
ENSG00000160145_ENSG00000263775	3	123798867	124440036	KALRN_AC080008.1	protein_coding&miRNA	INTRONIC	100	2	CpG: 16;CpG: 51
ENSG00000099715_ENSG00000231341	Y	4868264	5610265	PCDH11Y_VDAC1P6	protein_coding&processed_pseudogene	INTRONIC	856	2	CpG: 43;CpG: 45
ENSG00000145375_ENSG00000216154	4	123844226	124235809	SPATA5_AC109357.1	protein_coding&miRNA	INTRONIC	93	1	CpG: 21
ENSG00000267575_ENSG00000261824	19	28284428	28284848	CTC-459F4.3_LINC00662	processed_transcript&lincRNA	5UTR_5UTR	120	1	CpG: 42
ENSG00000258514_ENSG00000230468	10	135493903	135495148	DUX4L14_KIAA0664P5	protein_coding&snRNA	divergent	19765	1	CpG: 1534
ENSG00000145375_ENSG00000250322	4	123844226	124235809	SPATA5_CTB-51E13.1	protein_coding&processed_pseudogene	INTRONIC	190	1	CpG: 21
ENSG00000242429_ENSG00000132142	17	35441920	35766909	RP11-19G24.2_ACACA	processed_pseudogene&protein_coding	INTRONIC	525	2	CpG: 70;CpG: 74
ENSG00000259164_ENSG00000258552	14	77564651	77691805	RP11-463C8.4_RP11-463C8.5	nonsense_mediated_decay&processed_pseudogene	INTRONIC	579	4	CpG: 79;CpG: 23;CpG: 71;CpG: 183
ENSG00000240484_ENSG00000185442	15	93160670	93353114	RP11-386M24.1_FAM174B	processed_pseudogene&protein_coding	INTRONIC	349	3	CpG: 96;CpG: 53;CpG: 79
ENSG00000172543_ENSG00000172638	11	65647277	65651212	CTSW_EFEMP2	protein_coding&snRNA	divergent	6215	1	CpG: 115
ENSG00000232491_ENSG00000229180	7	66021200	66022052	RP4-756H11.1_GS1-124K5.11	protein_coding&snRNA	divergent	13665	1	CpG: 102
ENSG00000166233_ENSG00000261423	15	72765182	72767509	ARIH1_RP11-1007O24.3	protein_coding&lincRNA	5UTR_5UTR	371	1	CpG: 138
ENSG00000108515_ENSG00000108518	17	4851384	4852309	ENO3_PFN1	protein_coding&protein_coding	5UTR_5UTR	86	1	CpG: 237
ENSG00000158156_ENSG00000227050	1	28285970	28286873	XKR8_RP11-460I13.2	protein_coding&antisense	5UTR_5UTR	35	1	CpG: 81
ENSG00000243738_ENSG00000119396	9	123940412	123985292	Metazoa_SRP_RAB14	misc_RNA&protein_coding	INTRONIC	277	1	CpG: 115
ENSG00000176209_ENSG00000254165	8	42396295	42408151	C8orf40_RP11-503E24.2	protein_coding&snRNA	divergent	2849	1	CpG: 108
ENSG00000165548_ENSG00000177108	14	77582908	77725838	TMEM63C_ZDHHC22	protein_coding&protein_coding	INTRONIC	11466	3	CpG: 183;CpG: 71;CpG: 23
ENSG00000203321_ENSG00000156017	9	77567881	77643339	RP11-197P3.4_C9orf41	processed_transcript&protein_coding	INTRONIC	15275	2	CpG: 104;CpG: 144
ENSG00000226759_ENSG00000173406	1	57460448	59012406	RP4-737A23.2_DAB1	antisense&protein_coding	INTRONIC	20375	3	CpG: 87;CpG: 192;CpG: 28
ENSG00000140463_ENSG00000175202	15	72978524	73030817	BBS4_HIGD2B	protein_coding&snRNA	divergent	35	1	CpG: 39
ENSG00000226084_ENSG00000142892	1	77554672	77685115	RP4-706A16.3_PIGK	processed_pseudogene&protein_coding	INTRONIC	618	1	CpG: 23
ENSG00000260372_ENSG00000266184	18	24235703	24770662	CHST9-AS1_RP11-552O4.2	antisense&processed_pseudogene	INTRONIC	914	3	CpG: 52;CpG: 136;CpG: 29
ENSG00000249112_ENSG00000168916	5	123972606	124084500	RP11-43D2.2_ZNF608	lincRNA&protein_coding	INTRONIC	2912	1	CpG: 48
ENSG00000136937_ENSG00000136925	9	100395522	100396197	NCBP1_TSTD2	protein_coding&protein_coding	5UTR_5UTR	56	1	CpG: 116
ENSG00000262621_ENSG00000263177	16	3415096	3536953	LA16c-306E5.2_RP11-433P17.2	processed_transcript&processed_pseudogene	INTRONIC	951	5	CpG: 105;CpG: 101;CpG: 21;CpG: 17;CpG: 41
ENSG00000148180_ENSG00000214651	9	123970072	124095121	GSN_RP11-477J21.2	protein_coding&processed_pseudogene	INTRONIC	1338	1	CpG: 55
ENSG00000123106_ENSG00000247934	12	28286179	28732883	CCDC91_RP11-967K21.1	protein_coding&antisense	INTRONIC	27070	1	CpG: 70
ENSG00000244556_ENSG00000064419	7	128594945	128695198	RP11-128A6.2_TNPO3	processed_pseudogene&protein_coding	INTRONIC	1640	1	CpG: 60
ENSG00000251274_ENSG00000168916	5	123972606	124084500	RP11-436H11.4_ZNF608	antisense&protein_coding	INTRONIC	527	1	CpG: 48
ENSG00000267695_ENSG00000154832	18	47828557	47839965	RP11-1030E3.1_CXXC1	protein_coding&snRNA	divergent	13884	1	CpG: 30
ENSG00000086598_ENSG00000247373	12	124068756	124069662	TMED2_RP11-486O12.2	protein_coding&lincRNA	5UTR_5UTR	176	1	CpG: 60
ENSG00000237310_ENSG00000223473	7	65958690	65960461	GS1-124K5.4_GS1-124K5.3	protein_coding&snRNA	divergent	138	1	CpG: 59
ENSG00000254675_ENSG00000259112	11	77728014	77790911	RP11-7I15.4_NDUFC2-KCTD14	antisense&protein_coding	INTRONIC	790	1	CpG: 64
ENSG00000251314_ENSG00000175426	5	95297702	95970220	CTD-2337A12.1_PCSK1	processed_transcript&protein_coding	INTRONIC	43730	1	CpG: 18
ENSG00000169727_ENSG00000169738	17	80008821	80015346	GPS1_DCXR	protein_coding&snRNA	divergent	13214	2	CpG: 95;CpG: 184
ENSG00000250530_ENSG00000168916	5	123972606	124084500	RP11-436H11.3_ZNF608	antisense&protein_coding	INTRONIC	447	1	CpG: 48
ENSG00000226200_ENSG00000198964	10	52388907	52391396	RP11-50E11.3_SGMS1	protein_coding&snRNA	divergent	4113	1	CpG: 249
